label,definition,comment,exactSynonym,broadSynonym,narrowSynonym,relatedSynonym,subsetType,uri
snowfall,A hydrological process in which irregular aggregates of snow fall to a planetary surface.,,snow fall,,,,envoPolar|environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000895
avalanche,A mass wasting flow during which snow rapidly flows down a sloping surface.,,snowslip|snowslide,,,,envoPolar|environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000691
astronomical body part,A material part of an astronomical body.,,,,,,envoPolar|envoAstro,http://purl.obolibrary.org/obo/ENVO_01000813
season,A one-dimensional temporal region which is delimited by the occurrence of processes which serve as its delimiters.,,,,,,envoPolar|envoAstro,http://purl.obolibrary.org/obo/ENVO_03000096
star,An astronomical object which is composed primarily of luminous plasma held in a spherical form by gravitational forces.,,,,,,envoPolar|envoAstro,http://purl.obolibrary.org/obo/ENVO_01000801
planet,"A planet is an astronomical body orbiting a star or stellar remnant that is massive enough to be rounded by its own gravity, is not massive enough to cause thermonuclear fusion, and has cleared its neighbouring region of planetesimals.",Considerable debate on the definition of planet exists.,,,,,envoPolar|envoAstro,http://purl.obolibrary.org/obo/ENVO_01000800
biosphere,"A biosphere is a part of an astronomical body which includes, as parts, all the living entities within the gravitational sphere of influence of that body, as well as the non-living and dead entities with which they interact.",The gravitational sphere of influence referenced in this class' definition is the Hill sphere: a region in which an object dominates the attraction of satellites despite gravitational perturbations.,,,,,envoPolar|envoAstro,http://purl.obolibrary.org/obo/ENVO_01000817
cryosphere,A cryosphere is that part of a planet which is primarily composed of water is in solid form.,"This is a very broad and, in practice, poorly defined term. Please consider using or requesting a more specific class.",,,,,envoPolar|envoAstro,http://purl.obolibrary.org/obo/ENVO_01000818
hydrosphere,"An astronomical body part which is composed of the combined mass of water found on, under, and over the surface of a planet.","This is a very broad and, in practice, poorly defined term. Please consider using or requesting a more specific class.",,,,,envoPolar|envoAstro,http://purl.obolibrary.org/obo/ENVO_01000819
glacier wind,A drainage wind which flows along the icy surface of a glacier.,,,,,,envoPolar|envoAtmo,http://purl.obolibrary.org/obo/ENVO_01001746
Antarctic front,"A polar front between the deep, cold Antarctic air and the shallower, warmer polar air of southern latitudes on Earth.",,,,,,envoPolar|envoAtmo,http://purl.obolibrary.org/obo/ENVO_01001700
Arctic front,"A polar front between the deep, cold Arctic air and the shallower, warmer polar air of northern latitudes on Earth.",,,,,,envoPolar|envoAtmo,http://purl.obolibrary.org/obo/ENVO_01001699
